geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
5122417,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",501,America/New_York,0
5122579,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",532,America/New_York,0
5125086,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","Лонг-Бич",501,America/New_York,0
5129194,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",523,America/New_York,0
5137663,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",501,America/New_York,0
5143807,ru,NA,"Северная Америка",US,"США",NY,"Нью-Йорк","","","",532,America/New_York,0
5151012,ru,NA,"Северная Америка",US,"США",OH,"Огайо","","","",542,America/New_York,0
5152291,ru,NA,"Северная Америка",US,"США",OH,"Огайо","","","",596,America/New_York,0
5155572,ru,NA,"Северная Америка",US,"США",OH,"Огайо","","","Женева",510,America/New_York,0
5176233,ru,NA,"Северная Америка",US,"США",OH,"Огайо","","","",536,America/New_York,0
5180021,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",508,America/New_York,0
5187727,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",504,America/New_York,0
5188935,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",508,America/New_York,0
5189377,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",536,America/New_York,0
5189699,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",574,America/New_York,0
5203859,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","Нортумберленд",577,America/New_York,0
5212072,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",504,America/New_York,0
5213001,ru,NA,"Северная Америка",US,"США",PA,"Пенсильвания","","","",574,America/New_York,0
5226143,ru,NA,"Северная Америка",US,"США",SD,"Южная Дакота","","","",725,America/Chicago,0
